src_ip,dst_ip,protocol,src_port,dst_port,first_seen,last_seen,packets,bytes,tcp_syn,tcp_ack,tcp_rst,tcp_fin
10.0.2.5,10.0.2.4,TCP,445,49163,49.062831,88.349825,26075,35031128,0,26075,0,0
10.0.2.4,10.0.2.5,TCP,49163,445,49.061832,88.332615,23615,31011949,0,23615,0,0
10.0.2.4,10.0.2.255,UDP,137,137,26.354067,36.900401,26,2316,0,0,0,0
10.0.2.4,239.255.255.250,UDP,54226,1900,28.657647,44.165482,22,3378,0,0,0,0
10.0.2.4,10.0.2.5,TCP,49380,139,36.900854,49.45333,13,1505,1,12,0,1
10.0.2.4,224.0.0.22,IP_2,,,24.26188,27.725675,12,488,0,0,0,0
10.0.2.5,10.0.2.4,TCP,139,49380,36.901315,49.452954,11,1485,1,11,0,1
10.0.2.4,10.0.2.5,TCP,49379,445,36.877374,49.44952,10,1164,1,9,1,0
10.0.2.5,10.0.2.4,TCP,445,49379,36.877697,49.448204,7,1022,1,7,0,0
10.0.2.4,239.255.255.250,UDP,63325,3702,28.599454,29.37633,6,6114,0,0,0,0
10.0.2.5,10.0.2.4,TCP,49176,5357,29.291682,29.319447,6,1201,1,5,0,1
10.0.2.4,10.0.2.5,TCP,49374,5357,32.646524,32.700799,6,1201,1,5,0,1
10.0.2.4,10.0.2.5,TCP,49377,5357,36.701566,36.724768,6,1201,1,5,0,1
10.0.2.4,10.0.2.5,TCP,49378,5357,36.707958,36.725891,6,1201,1,5,0,1
10.0.2.4,10.0.2.5,TCP,5357,49176,29.291966,29.319613,5,2570,1,5,0,1
10.0.2.5,10.0.2.4,TCP,5357,49374,32.646838,32.701659,5,2570,1,5,0,1
10.0.2.5,10.0.2.4,TCP,5357,49377,36.704251,36.72569,5,2570,1,5,0,1
10.0.2.5,10.0.2.4,TCP,5357,49378,36.712809,36.728138,5,2570,1,5,0,1
10.0.2.5,10.0.2.4,TCP,49175,5357,29.190235,29.244755,5,1161,1,4,1,0
10.0.2.4,10.0.2.5,UDP,3702,55873,29.184043,29.49856,4,5044,0,0,0,0
10.0.2.5,10.0.2.4,UDP,3702,59858,36.154693,36.404015,4,5004,0,0,0,0
10.0.2.5,239.255.255.250,UDP,55873,3702,29.094799,29.373291,4,2736,0,0,0,0
10.0.2.4,239.255.255.250,UDP,59858,3702,34.592111,34.776763,4,2608,0,0,0,0
10.0.2.4,10.0.2.255,UDP,138,138,32.603502,34.607993,3,633,0,0,0,0
10.0.2.5,10.0.2.4,UDP,3702,60229,31.625062,31.702008,2,2502,0,0,0,0
10.0.2.4,239.255.255.250,UDP,60231,3702,29.308685,29.547654,2,1368,0,0,0,0
10.0.2.4,239.255.255.250,UDP,60229,3702,29.178168,29.375423,2,1304,0,0,0,0
10.0.2.4,224.0.0.252,UDP,55316,5355,24.861925,24.961595,2,104,0,0,0,0
10.0.2.4,224.0.0.252,UDP,62257,5355,26.432994,26.542538,2,104,0,0,0,0
10.0.2.4,224.0.0.252,UDP,60228,5355,28.766947000000002,28.871278,2,100,0,0,0,0
10.0.2.4,224.0.0.252,UDP,56833,5355,24.344489,24.446227,2,98,0,0,0,0
10.0.2.4,224.0.0.252,UDP,60609,5355,26.434612,26.541211,2,98,0,0,0,0
10.0.2.4,224.0.0.252,UDP,62053,5355,27.282981,27.384122,2,98,0,0,0,0
10.0.2.4,224.0.0.252,UDP,54223,5355,27.591347,27.694453,2,98,0,0,0,0
10.0.2.4,10.0.2.5,TCP,5357,49175,29.190555,29.191616,2,92,1,2,0,0
10.0.2.5,10.0.2.255,UDP,138,138,32.633716,32.633716,1,229,0,0,0,0
10.0.2.5,10.0.2.4,UDP,138,138,34.610865,34.610865,1,206,0,0,0,0
10.0.2.1,10.0.2.4,UDP,53,64194,26.762456,26.762456,1,169,0,0,0,0
10.0.2.1,10.0.2.4,UDP,53,59857,31.522186,31.522186,1,168,0,0,0,0
10.0.2.4,10.0.2.5,UDP,137,137,34.610571,34.610571,1,90,0,0,0,0
10.0.2.5,10.0.2.4,UDP,137,137,36.900682,36.900682,1,90,0,0,0,0
10.0.2.5,10.0.2.4,UDP,5355,49844,36.873236,36.873236,1,80,0,0,0,0
10.0.2.5,10.0.2.255,UDP,137,137,34.610236,34.610236,1,78,0,0,0,0
10.0.2.4,10.0.2.1,UDP,64194,53,26.686846,26.686846,1,71,0,0,0,0
10.0.2.5,10.0.2.4,UDP,5355,50117,36.870714,36.870714,1,68,0,0,0,0
10.0.2.5,10.0.2.4,UDP,5355,50523,36.897707,36.897707,1,68,0,0,0,0
10.0.2.4,10.0.2.1,UDP,59857,53,31.474357,31.474357,1,62,0,0,0,0
10.0.2.4,224.0.0.252,UDP,50117,5355,36.868568,36.868568,1,49,0,0,0,0
10.0.2.4,224.0.0.252,UDP,49844,5355,36.872742,36.872742,1,49,0,0,0,0
10.0.2.4,224.0.0.252,UDP,50523,5355,36.896732,36.896732,1,49,0,0,0,0
