step,S,I,R,beta,gamma,scenario
0,299,1,0,0.9223,0.04,sin_contencion
1,252,48,0,0.9223,0.04,sin_contencion
2,69,230,1,0.9223,0.04,sin_contencion
3,0,290,10,0.9223,0.04,sin_contencion
4,0,278,22,0.9223,0.04,sin_contencion
5,0,269,31,0.9223,0.04,sin_contencion
6,0,265,35,0.9223,0.04,sin_contencion
7,0,255,45,0.9223,0.04,sin_contencion
8,0,243,57,0.9223,0.04,sin_contencion
9,0,238,62,0.9223,0.04,sin_contencion
10,0,230,70,0.9223,0.04,sin_contencion
11,0,219,81,0.9223,0.04,sin_contencion
12,0,212,88,0.9223,0.04,sin_contencion
13,0,201,99,0.9223,0.04,sin_contencion
14,0,196,104,0.9223,0.04,sin_contencion
15,0,190,110,0.9223,0.04,sin_contencion
16,0,184,116,0.9223,0.04,sin_contencion
17,0,175,125,0.9223,0.04,sin_contencion
18,0,170,130,0.9223,0.04,sin_contencion
19,0,162,138,0.9223,0.04,sin_contencion
20,0,157,143,0.9223,0.04,sin_contencion
21,0,149,151,0.9223,0.04,sin_contencion
22,0,145,155,0.9223,0.04,sin_contencion
23,0,136,164,0.9223,0.04,sin_contencion
24,0,133,167,0.9223,0.04,sin_contencion
25,0,129,171,0.9223,0.04,sin_contencion
26,0,125,175,0.9223,0.04,sin_contencion
27,0,118,182,0.9223,0.04,sin_contencion
28,0,114,186,0.9223,0.04,sin_contencion
29,0,113,187,0.9223,0.04,sin_contencion
30,0,108,192,0.9223,0.04,sin_contencion
31,0,106,194,0.9223,0.04,sin_contencion
32,0,105,195,0.9223,0.04,sin_contencion
33,0,100,200,0.9223,0.04,sin_contencion
34,0,97,203,0.9223,0.04,sin_contencion
35,0,94,206,0.9223,0.04,sin_contencion
36,0,93,207,0.9223,0.04,sin_contencion
37,0,90,210,0.9223,0.04,sin_contencion
38,0,86,214,0.9223,0.04,sin_contencion
39,0,82,218,0.9223,0.04,sin_contencion
40,0,80,220,0.9223,0.04,sin_contencion
41,0,77,223,0.9223,0.04,sin_contencion
42,0,77,223,0.9223,0.04,sin_contencion
43,0,74,226,0.9223,0.04,sin_contencion
44,0,67,233,0.9223,0.04,sin_contencion
45,0,65,235,0.9223,0.04,sin_contencion
46,0,63,237,0.9223,0.04,sin_contencion
47,0,60,240,0.9223,0.04,sin_contencion
48,0,57,243,0.9223,0.04,sin_contencion
49,0,55,245,0.9223,0.04,sin_contencion
50,0,52,248,0.9223,0.04,sin_contencion
51,0,50,250,0.9223,0.04,sin_contencion
52,0,49,251,0.9223,0.04,sin_contencion
53,0,46,254,0.9223,0.04,sin_contencion
54,0,46,254,0.9223,0.04,sin_contencion
55,0,44,256,0.9223,0.04,sin_contencion
56,0,42,258,0.9223,0.04,sin_contencion
57,0,39,261,0.9223,0.04,sin_contencion
58,0,38,262,0.9223,0.04,sin_contencion
59,0,37,263,0.9223,0.04,sin_contencion
60,0,35,265,0.9223,0.04,sin_contencion
61,0,34,266,0.9223,0.04,sin_contencion
62,0,34,266,0.9223,0.04,sin_contencion
63,0,33,267,0.9223,0.04,sin_contencion
64,0,33,267,0.9223,0.04,sin_contencion
65,0,32,268,0.9223,0.04,sin_contencion
66,0,31,269,0.9223,0.04,sin_contencion
67,0,29,271,0.9223,0.04,sin_contencion
68,0,27,273,0.9223,0.04,sin_contencion
69,0,27,273,0.9223,0.04,sin_contencion
70,0,26,274,0.9223,0.04,sin_contencion
71,0,25,275,0.9223,0.04,sin_contencion
72,0,24,276,0.9223,0.04,sin_contencion
73,0,24,276,0.9223,0.04,sin_contencion
74,0,24,276,0.9223,0.04,sin_contencion
75,0,23,277,0.9223,0.04,sin_contencion
76,0,22,278,0.9223,0.04,sin_contencion
77,0,22,278,0.9223,0.04,sin_contencion
78,0,21,279,0.9223,0.04,sin_contencion
79,0,20,280,0.9223,0.04,sin_contencion
80,0,20,280,0.9223,0.04,sin_contencion
0,299,1,0,0.9223,0.04,kill_switch
1,252,48,0,0.08,0.22,kill_switch
2,227,61,12,0.08,0.22,kill_switch
3,211,62,27,0.08,0.22,kill_switch
4,198,59,43,0.08,0.22,kill_switch
5,182,64,54,0.08,0.22,kill_switch
6,165,67,68,0.08,0.22,kill_switch
7,156,65,79,0.08,0.22,kill_switch
8,148,55,97,0.08,0.22,kill_switch
9,144,49,107,0.08,0.22,kill_switch
10,135,44,121,0.08,0.22,kill_switch
11,133,39,128,0.08,0.22,kill_switch
12,130,34,136,0.08,0.22,kill_switch
13,129,29,142,0.08,0.22,kill_switch
14,127,19,154,0.08,0.22,kill_switch
15,126,18,156,0.08,0.22,kill_switch
16,122,17,161,0.08,0.22,kill_switch
17,121,15,164,0.08,0.22,kill_switch
18,119,16,165,0.08,0.22,kill_switch
19,118,12,170,0.08,0.22,kill_switch
20,117,12,171,0.08,0.22,kill_switch
21,116,8,176,0.08,0.22,kill_switch
